Model,Learning Rate,Best Validation AUC,Final Test AUC,PR AUC
T5,0.001,0.9801920230315663,0.9798403810698756,0.9799593319349061
Bert,0.001,0.981476670323874,0.984172182763454,0.9861359409997296
SBert,0.001,0.9855895552514977,0.986481183717209,0.986939989705251
Chemberta,0.001,0.9870346760228313,0.9878062256343063,0.9885771192989962
T5,0.0005,0.9871861865607944,0.9861373382864428,0.9878116045830834
Bert,0.0005,0.9768088197304535,0.9774112398718765,0.9805516948096824
SBert,0.0005,0.9826850712271421,0.984262364684146,0.9789719056037518
Chemberta,0.0005,0.9824832208832107,0.9841713846933593,0.98330573141882
T5,0.0001,0.9756347972312617,0.9747467600809758,0.9725900135764577
Bert,0.0001,0.9649762641675858,0.9640467273723801,0.9695590475070802
SBert,0.0001,0.9641907176344516,0.969627385984023,0.9706110279366729
Chemberta,0.0001,0.9709374794343475,0.9747296936589525,0.9753739441868227
